wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,2,0,12,22,1,1,11,1,2.0,185,0.0,0,0.947368421,0.625,1,2,91.5,1,0.5,0
2,2,0,10,7,1,1,9,1,1.0,79,0.0,0,0.947368421,0.625,1,1,38.0,1,0.5,0
2,2,0,1,5,1,0,1,2,2.0,14,0.0,0,0.923076923,0.75,0,0,6.0,1,0.5,0
3,6,0,3,17,1,1,2,3,0.5,263,1.0,0,0.996987952,1.0,2,4,84.0,5,2.0,1
13,1,2,6,32,76,5,2,8,0.972222222,439,0.333333333,0,0.0,0.318181818,0,0,32.53846154,10,2.4615,0
5,6,0,5,33,2,2,3,3,0.458333333,191,1.0,1,0.996240602,0.4375,2,11,36.0,8,2.6,1
2,1,0,4,2,1,3,2,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
45,1,0,41,77,898,36,5,28,0.795454545,1472,0.25,2,0.0,0.083333333,0,0,31.62222222,12,2.0222,0
36,1,0,23,109,630,12,14,14,2.0,1557,0.0,0,0.0,0.155982906,0,0,42.25,30,3.1111,0
1,1,0,1,2,0,1,0,0,2.0,6,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
22,1,0,12,51,129,11,6,9,0.873015873,593,0.8,5,0.0,0.140909091,0,0,25.27272727,11,2.6818,1
7,1,0,5,12,13,5,0,6,0.5,64,1.0,0,0.0,0.166666667,0,0,7.857142857,4,1.5714,0
17,7,0,5,80,98,3,4,4,0.875,662,1.0,0,0.97754491,0.1875,1,3,37.29411765,5,1.1765,0
1,4,0,3,2,0,2,1,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
3,6,16,19,13,3,19,3,3,1.0,59,1.0,1,0.996937213,0.5,0,0,18.33333333,1,0.6667,0
19,5,0,13,77,71,8,10,8,0.813131313,498,1.0,3,0.973174367,0.198830409,0,0,24.63157895,9,2.0526,1
3,6,0,4,24,1,1,3,1,0.5,253,1.0,1,0.996987952,1.0,1,3,80.0,1,0.6667,1
5,3,0,5,6,2,5,0,5,0.75,36,1.0,0,0.80952381,0.466666667,1,1,5.4,1,0.8,0
1,3,0,8,2,0,6,2,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
10,5,15,17,27,29,15,2,5,0.805555556,258,1.0,0,0.986404834,0.5,0,0,24.4,2,1.1,1
8,1,13,15,9,12,13,2,0,0.761904762,66,1.0,2,0.0,0.354166667,0,0,6.875,3,1.25,0
19,2,0,11,75,123,1,11,8,0.888888889,1106,1.0,5,0.419354839,0.233918129,1,1,55.89473684,33,5.5789,1
24,1,0,29,89,228,11,24,16,0.900621118,534,1.0,0,0.0,0.155279503,0,0,20.95833333,6,1.875,1
10,1,0,10,46,9,4,8,7,0.951111111,1441,0.48,1,0.0,0.314285714,0,0,140.6,32,8.5,1
8,2,0,5,20,0,2,3,6,0.285714286,174,1.0,0,0.695652174,0.40625,1,2,20.625,2,1.375,0
1,1,0,2,1,0,2,0,0,2.0,186,0.0,0,0.0,0.0,0,0,148.0,0,0.0,0
31,1,0,34,108,197,9,27,28,0.64,1228,1.0,2,0.0,0.112903226,0,0,38.29032258,23,3.129,1
50,1,0,5,66,3,1,4,6,0.75170068,6259,0.166666667,1,0.0,0.5,0,0,123.7,163,8.68,0
4,1,0,2,7,0,1,1,3,0.0,59,1.0,0,0.0,0.666666667,0,0,13.25,3,1.75,0
11,1,0,22,29,23,19,3,8,0.72,244,1.0,1,0.0,0.16,0,0,20.72727273,5,1.7273,0
17,1,0,1,37,100,1,0,16,0.7,691,0.8,0,0.0,0.323529412,0,0,39.05882353,13,2.1176,0
3,6,0,4,27,1,1,3,3,0.5,238,1.0,1,0.996987952,1.0,2,4,76.0,3,1.6667,0
8,6,0,6,31,20,4,4,1,0.761904762,123,0.666666667,1,0.991017964,0.5,4,12,14.0,2,0.875,1
4,2,0,10,23,6,3,7,2,2.0,175,0.0,0,0.857142857,0.583333333,1,1,42.75,1,0.75,0
12,2,0,7,38,38,1,7,8,0.863636364,470,1.0,4,0.541666667,0.319444444,1,3,36.5,12,3.3333,1
27,1,0,3,40,25,3,0,21,0.529411765,1277,0.705882353,0,0.0,0.296296296,0,0,45.66666667,7,1.5926,0
7,2,0,5,16,3,1,4,7,0.80952381,115,1.0,0,0.7,0.392857143,1,1,14.42857143,3,1.4286,1
4,5,0,6,16,0,4,5,2,0.5,62,1.0,1,0.995856354,0.416666667,0,0,14.0,2,1.0,0
3,2,0,4,9,1,1,3,0,0.5,71,1.0,0,0.777777778,0.444444444,1,2,22.33333333,6,2.3333,0
55,6,0,109,200,1197,99,30,40,0.892361111,1437,0.875,8,0.922746781,0.0784689,1,1,24.83636364,13,2.5091,1
22,1,4,23,36,175,20,6,22,0.993197279,239,0.142857143,0,0.0,0.392045455,0,0,9.545454545,4,1.3182,1
8,1,0,15,31,0,8,9,3,0.766233766,356,0.0,1,0.0,0.375,0,0,42.125,1,0.375,0
3,2,0,4,5,3,1,3,0,2.0,20,0.0,0,0.777777778,0.466666667,1,2,5.666666667,1,0.6667,0
4,2,0,4,9,0,1,3,0,0.444444444,80,1.0,0,0.7,0.357142857,1,2,18.25,5,1.75,0
10,7,0,7,56,21,2,6,4,0.833333333,384,1.0,0,0.986404834,0.3,0,0,36.6,5,1.3,0
2,8,0,11,23,1,3,11,2,2.0,100,0.0,0,0.998835856,0.75,1,2,49.0,7,3.5,1
6,1,0,2,40,13,0,2,5,0.6,374,0.0,0,0.0,0.28,0,0,61.16666667,11,3.0,0
4,3,0,4,13,0,4,1,3,1.222222222,71,0.133333333,0,0.85,0.5,1,1,13.0,1,0.75,0
2,2,0,11,9,1,3,8,1,2.0,65,0.0,0,0.947368421,0.625,0,0,31.5,1,0.5,0
25,1,0,10,37,290,7,3,22,0.888888889,161,1.0,1,0.0,0.157407407,0,0,5.2,3,1.16,0
19,1,0,19,71,91,6,15,9,0.708333333,1263,0.625,1,0.0,0.274853801,0,0,65.05263158,5,1.6316,0
1,8,0,4,15,0,2,4,1,2.0,83,0.0,0,1.0,1.0,0,0,82.0,0,0.0,1
15,1,0,19,28,0,18,1,11,0.669642857,391,0.125,1,0.0,0.333333333,0,0,24.53333333,6,2.2667,0
5,3,0,4,18,8,0,4,5,0.375,173,1.0,2,0.818181818,0.366666667,2,3,32.4,7,2.6,0
11,2,0,2,23,25,1,1,7,0.833333333,167,0.666666667,0,0.64,0.303030303,2,2,13.90909091,4,1.5455,0
2,1,0,4,2,1,4,0,2,2.0,2,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,1
6,3,0,3,19,3,2,1,5,0.44,387,0.4,1,0.85,0.333333333,1,1,62.66666667,14,4.3333,0
3,1,0,5,4,3,5,0,2,1.4375,23,0.0,2,0.0,0.5,0,0,4.0,2,1.0,0
87,2,0,8,100,3741,0,8,84,2.0,711,0.0,0,0.104166667,0.054675365,1,2,7.172413793,3,1.023,0
2,3,0,5,4,1,1,4,2,2.0,10,0.0,0,0.857142857,0.75,0,0,4.0,1,0.5,0
7,2,0,7,27,0,1,7,3,0.616666667,500,0.6,2,0.454545455,0.285714286,0,0,69.0,5,3.1429,1
18,5,0,16,62,31,5,14,16,0.794117647,551,0.583333333,5,0.976083707,0.317647059,0,0,28.94444444,7,1.9444,1
2,2,0,10,6,1,5,5,1,2.0,30,0.0,0,0.947368421,0.625,0,0,14.0,1,0.5,0
2,1,0,3,2,1,3,1,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
5,5,0,4,26,0,3,1,5,0.25,339,1.0,0,0.99391172,0.6,0,0,66.4,12,4.2,0
3,6,0,3,13,3,1,2,3,2.0,45,0.0,0,0.997382199,0.5,2,2,14.0,1,0.6667,0
13,6,0,14,75,44,4,13,1,0.814814815,517,1.0,0,0.982195846,0.5,3,5,38.07692308,12,2.3077,1
2,3,0,7,4,1,7,0,2,2.0,9,0.0,0,1.0,0.75,0,0,3.5,0,0.0,0
11,2,0,5,31,31,1,5,7,0.8,231,1.0,0,0.565217391,0.4,1,3,19.27272727,8,2.2727,1
2,8,0,9,25,1,2,8,2,2.0,127,0.0,0,0.998835856,0.75,3,4,62.5,9,4.5,1
10,7,0,15,74,17,4,15,5,0.814814815,477,1.0,1,0.986404834,0.25,4,7,46.1,9,2.3,1
6,1,0,8,23,3,4,4,5,0.68,128,0.0,1,0.0,0.458333333,0,0,19.5,2,1.3333,1
21,6,0,17,83,64,13,7,9,0.691666667,589,1.0,1,0.978986403,0.224489796,3,7,26.76190476,13,2.7619,1
2,2,0,10,9,1,1,9,1,1.0,36,0.0,0,0.947368421,0.625,1,1,16.0,1,0.5,0
3,2,0,11,18,3,1,10,1,1.0,273,0.0,0,0.9,0.533333333,1,1,89.66666667,1,0.6667,0
3,7,0,5,33,3,2,4,3,2.0,162,0.0,0,0.996946565,0.555555556,0,0,53.0,1,0.6667,1
5,6,0,4,35,0,2,3,3,0.711538462,386,1.0,0,0.993993994,0.5,3,5,73.6,6,2.0,1
19,1,35,50,30,147,46,7,19,0.888888889,240,0.5,4,0.0,0.233082707,0,0,11.31578947,6,1.6316,0
2,2,0,12,10,1,1,11,1,1.125,137,0.625,4,0.947368421,0.625,1,1,63.5,1,0.5,0
2,2,0,10,9,1,2,8,1,2.0,40,0.0,0,0.947368421,0.6,1,2,18.5,1,0.5,0
1,1,0,5,1,0,5,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
17,1,0,8,22,100,5,3,17,0.91875,199,1.0,4,0.0,0.183823529,0,0,10.11764706,4,1.4118,1
5,6,0,10,33,4,4,8,2,0.666666667,152,1.0,2,0.99389313,0.4,1,1,28.8,1,0.8,1
7,6,0,7,33,11,4,6,0,0.777777778,145,1.0,3,0.99086758,0.285714286,0,0,19.28571429,1,0.8571,1
6,3,0,14,14,5,11,5,5,0.927272727,81,0.181818182,1,0.6,0.4,1,1,10.66666667,1,0.6667,0
5,1,0,9,5,10,7,2,5,2.0,5,0.0,0,0.0,0.6,0,0,0.0,1,1.0,0
399,1,0,47,487,0,1,47,82,0.71839196,23350,0.8,8,0.0,0.183375104,0,0,57.45864662,46,5.5439,0
11,1,0,3,16,55,2,1,9,2.0,456,0.0,0,0.0,0.363636364,0,0,40.45454545,6,3.5455,0
6,3,0,2,19,15,2,0,4,1.12,184,0.0,0,0.85,0.5,1,1,28.83333333,14,2.8333,0
13,1,0,11,61,44,4,10,6,0.833333333,488,1.0,0,0.0,0.180555556,0,0,36.15384615,6,2.5385,1
2,2,0,7,7,1,1,6,1,2.0,30,0.0,0,0.947368421,0.625,1,1,14.0,1,0.5,0
13,7,0,10,72,44,2,9,4,0.782051282,631,1.0,0,0.981954887,0.217948718,0,0,46.53846154,7,1.7692,0
2,2,0,7,6,1,1,6,1,2.0,36,0.0,0,0.947368421,0.625,1,1,17.0,1,0.5,0
8,2,0,8,34,12,2,6,5,0.714285714,223,1.0,0,0.5,0.291666667,0,0,26.375,8,2.0,0
14,5,0,20,72,37,17,11,8,0.857142857,533,0.928571429,3,0.98048048,0.257142857,2,5,36.07142857,6,1.7857,1
5,2,0,4,18,8,1,4,2,0.75,106,0.0,0,0.714285714,0.333333333,1,2,20.0,3,1.2,0
12,1,0,19,32,36,15,6,12,0.745454545,236,1.0,3,0.0,0.416666667,0,0,18.25,5,2.0,1
5,2,0,7,20,4,1,6,2,0.5,153,0.0,0,0.818181818,0.366666667,0,0,29.4,10,4.0,0
4,5,0,5,32,0,1,4,2,0.575757576,313,0.909090909,0,0.995601173,0.375,0,0,74.5,11,4.0,1
10,2,0,8,29,3,4,5,8,0.333333333,189,0.0,0,0.666666667,0.425,1,2,17.8,4,1.9,0
9,1,0,8,39,36,5,4,9,2.0,904,0.0,0,0.0,0.301587302,0,0,99.44444444,20,6.0,1
3,6,0,4,24,1,1,3,3,0.5,321,1.0,1,0.996987952,1.0,2,4,102.0,3,1.6667,0
5,1,0,3,12,0,2,1,3,0.46875,269,1.0,0,0.0,0.6,0,0,51.2,10,3.8,0
13,1,0,64,55,36,64,1,7,0.886904762,433,0.571428571,0,0.0,0.178571429,0,0,31.23076923,7,2.3077,0
11,3,2,51,20,0,51,1,9,0.1,137,0.0,1,0.653846154,0.575757576,1,1,11.36363636,2,1.1818,0
8,1,0,5,15,0,4,2,6,0.428571429,139,1.0,1,0.0,0.395833333,0,0,16.0,5,1.375,0
5,5,0,14,45,6,4,11,1,0.833333333,458,1.0,3,0.994436718,0.32,0,0,90.0,3,1.4,0
14,2,0,11,88,35,6,7,8,0.673076923,889,1.0,1,0.842105263,0.619047619,1,7,62.21428571,10,2.0714,1
12,3,0,6,52,8,2,5,10,0.672727273,501,1.0,0,0.666666667,0.303030303,1,4,40.33333333,17,4.3333,1
21,6,0,7,71,170,4,6,5,0.9,508,1.0,2,0.970193741,0.169312169,1,1,22.71428571,8,1.8571,1
6,1,0,1,6,15,1,0,6,2.0,6,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
3,2,0,14,10,3,5,9,2,2.0,63,0.0,0,0.9,0.6,1,1,20.0,1,0.6667,0
2,2,0,9,6,1,3,6,1,1.0,54,0.0,0,0.947368421,0.666666667,1,2,24.5,1,0.5,0
4,1,0,3,12,6,1,2,4,0.666666667,37,1.0,1,0.0,0.5,0,0,8.0,2,1.0,0
11,6,0,11,64,27,6,9,1,0.775,595,1.0,0,0.984871407,0.363636364,0,0,52.36363636,12,1.9091,1
2,2,0,8,8,1,1,7,1,2.0,50,0.0,0,0.947368421,0.625,1,1,24.0,1,0.5,0
6,1,0,6,8,15,3,3,6,2.0,24,0.0,0,0.0,0.555555556,0,0,3.0,2,1.0,0
13,5,0,14,65,14,4,14,4,0.633333333,398,1.0,2,0.981954887,0.323076923,2,5,29.23076923,8,1.6154,1
8,1,0,8,28,6,1,7,8,0.678571429,160,1.0,2,0.0,0.234375,0,0,18.5,6,2.0,0
3,7,0,4,33,3,1,4,3,1.0,176,1.0,0,0.996946565,0.666666667,0,0,57.33333333,1,0.6667,1
15,1,0,26,75,73,9,19,12,0.785714286,736,1.0,3,0.0,0.247619048,0,0,47.66666667,13,4.4,1
5,3,0,5,13,4,2,4,4,0.875,50,0.25,0,0.666666667,0.5,1,1,8.2,1,0.6,0
3,2,0,11,13,3,1,10,1,1.0,101,0.0,0,0.9,0.444444444,1,1,32.33333333,6,2.3333,0
16,1,2,23,25,106,21,2,15,0.8,128,1.0,0,0.0,0.205357143,0,0,6.875,3,1.1875,0
6,2,0,6,50,9,3,5,3,0.8,305,1.0,0,0.924242424,0.305555556,0,0,49.16666667,8,2.0,1
6,8,0,10,24,15,1,10,4,2.0,144,0.0,0,0.994206257,0.333333333,1,7,23.0,5,2.1667,0
12,6,0,6,38,28,3,5,1,0.392344498,645,1.0,2,0.983655275,0.5,1,3,51.16666667,5,1.4167,1
14,7,0,24,106,69,3,24,8,0.869230769,708,1.0,2,0.98048048,0.174603175,0,0,48.85714286,9,2.2143,1
6,2,0,5,28,3,1,5,4,0.771428571,230,1.0,0,0.722222222,0.722222222,1,3,36.16666667,7,3.0,1
3,1,0,5,3,3,4,1,3,2.0,3,0.0,0,0.0,0.444444444,0,0,0.0,1,1.0,0
2,2,0,4,3,1,1,3,1,2.0,6,0.0,0,0.9,0.75,0,0,2.0,1,0.5,0
28,1,0,45,60,378,43,2,24,2.0,950,0.0,0,0.0,0.183673469,0,0,32.92857143,14,3.7143,1
3,2,0,4,9,1,1,3,0,0.5,106,1.0,0,0.777777778,0.444444444,1,2,34.0,11,4.0,0
6,2,0,1,23,1,0,1,2,0.6,141,1.0,0,0.6875,0.476190476,1,2,22.16666667,3,1.3333,0
7,1,0,5,16,0,1,4,4,0.666666667,416,1.0,1,0.0,0.265306122,0,0,57.14285714,14,4.1429,1
5,7,0,5,52,2,1,4,4,0.642857143,380,1.0,0,0.99391172,0.4,0,0,73.6,6,2.6,0
5,2,0,5,28,2,1,4,4,0.5625,199,1.0,0,0.935483871,0.466666667,1,7,38.0,8,2.2,1
126,3,0,102,316,6941,79,40,90,0.95255814,5047,0.790697674,7,0.324324324,0.068783069,1,1,38.71428571,25,3.5317,1
15,7,0,12,91,47,2,11,3,0.808035714,1186,1.0,3,0.979010495,0.283333333,1,1,77.0,7,1.3333,1
3,1,0,24,3,3,24,0,3,1.5,4,0.0,0,0.0,0.833333333,0,0,0.0,1,1.0,0
1,4,0,16,2,0,16,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
10,1,0,10,47,17,8,3,8,0.622222222,299,1.0,0,0.0,0.35,0,0,28.4,10,2.8,0
13,1,0,6,13,78,6,0,13,2.0,13,0.0,0,0.0,0.430769231,0,0,0.0,1,1.0,0
1,1,0,6,2,0,6,0,0,2.0,21,0.0,1,0.0,1.0,0,0,15.0,0,0.0,0
3,5,0,4,37,1,2,3,2,0.5,138,1.0,0,0.996710526,0.5,0,0,44.66666667,2,1.0,0
13,6,0,11,60,50,5,10,1,0.816666667,361,1.0,1,0.982195846,0.243589744,4,12,26.38461538,5,1.9231,0
6,7,0,8,47,9,3,8,3,0.8,311,1.0,0,0.992401216,0.388888889,0,0,50.33333333,1,0.8333,0
1,7,6,8,21,0,7,2,1,2.0,93,0.0,0,1.0,1.0,0,0,92.0,0,0.0,0
2,1,0,12,2,1,12,0,2,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
4,1,0,2,11,4,1,2,3,0.666666667,58,1.0,0,0.0,0.333333333,0,0,13.25,4,2.0,0
6,5,0,5,34,0,3,5,2,0.4,129,1.0,1,0.991816694,0.277777778,0,0,20.0,1,0.8333,1
3,2,0,11,14,1,2,10,2,0.875,134,0.0,2,0.9,0.555555556,1,3,42.33333333,1,0.6667,0
13,6,0,13,65,46,7,9,1,0.785714286,438,1.0,0,0.982195846,0.333333333,2,4,32.15384615,9,2.2308,1
2,2,0,7,5,1,2,5,2,1.0,22,0.0,0,0.947368421,0.625,1,1,9.5,1,0.5,0
6,2,0,4,19,15,1,4,6,2.0,93,0.0,0,0.807692308,0.5,1,3,14.5,2,1.0,1
14,2,0,8,34,37,5,4,11,0.760683761,324,1.0,1,0.824324324,0.224489796,0,0,21.5,8,1.7143,1
5,2,0,16,35,10,2,14,1,1.142857143,256,0.0,0,0.818181818,0.72,0,0,48.8,1,0.8,0
18,1,0,12,96,47,4,10,9,0.773109244,730,1.0,0,0.0,0.104575163,0,0,39.16666667,16,2.7222,0
2,2,0,4,3,1,3,1,1,1.0,10,0.0,0,0.947368421,0.75,0,0,3.5,1,0.5,0
11,2,0,10,96,21,2,10,3,0.828571429,1272,0.5,3,0.333333333,0.236363636,0,0,113.3636364,17,4.9091,1
9,1,2,9,24,6,4,7,8,0.375,174,1.0,0,0.0,0.296296296,0,0,18.22222222,6,1.8889,0
3,6,0,5,18,3,4,2,1,2.0,71,0.0,0,0.997382199,0.444444444,0,0,22.66666667,2,1.0,0
10,1,2,15,17,23,14,1,7,0.777777778,80,0.0,0,0.0,0.4,0,0,6.6,1,0.7,1
2,1,0,4,7,0,4,0,2,1.8,48,0.0,2,0.0,0.666666667,0,0,13.0,1,0.5,1
45,4,0,15,122,462,8,8,39,0.899521531,1143,1.0,3,0.936231884,0.136752137,3,18,23.97777778,12,2.0889,1
3,2,0,11,10,3,4,7,2,2.0,79,0.0,0,0.9,0.533333333,1,1,25.33333333,1,0.6667,0
4,1,0,10,5,0,10,0,4,0.666666667,28,1.0,0,0.0,0.5,0,0,5.25,1,0.75,0
6,1,0,8,10,0,7,2,3,0.65,57,1.0,1,0.0,0.416666667,0,0,7.833333333,2,1.0,1
45,2,0,34,107,928,13,25,26,0.93006993,2533,0.461538462,2,0.152173913,0.231060606,1,2,55.0,9,1.7778,0
1,3,0,3,2,0,1,2,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
6,2,0,4,22,3,1,3,0,1.0625,288,0.0,0,0.636363636,0.285714286,1,2,44.33333333,25,5.1667,0
5,3,0,4,18,8,0,4,5,0.375,173,1.0,2,0.818181818,0.366666667,2,3,32.4,7,2.6,0
1,3,0,4,2,0,2,2,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
4,2,0,4,8,4,1,3,0,0.666666667,55,1.0,0,0.7,0.375,1,2,12.25,6,2.0,0
51,1,1,44,135,1139,34,18,35,0.949090909,1644,0.818181818,4,0.0,0.111764706,0,0,30.80392157,6,1.5882,0
1,1,0,12,1,0,12,0,0,2.0,617,0.0,0,0.0,0.0,0,0,496.0,0,0.0,0
1,3,0,4,2,0,2,2,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
4,1,0,2,5,0,1,1,3,0.0,63,1.0,0,0.0,0.666666667,0,0,14.25,2,1.5,0
17,6,0,14,59,94,13,9,8,0.8984375,334,1.0,1,0.976011994,0.213235294,3,6,18.17647059,5,1.3529,1
3,2,0,4,8,0,1,3,0,0.75,151,0.5,0,0.777777778,0.444444444,1,2,48.0,18,7.3333,0
6,6,0,7,35,5,3,6,1,0.833333333,229,1.0,2,0.992378049,0.333333333,0,0,36.16666667,1,0.8333,0
3,2,0,9,7,1,3,6,1,1.0,30,0.0,0,0.947368421,0.666666667,1,2,8.0,1,0.3333,0
118,1,0,6,180,6075,5,1,27,0.921125975,5223,0.717391304,1,0.0,0.138067061,0,0,42.48305085,9,1.4492,0
23,1,0,39,64,159,33,13,16,0.858585859,300,1.0,3,0.0,0.103896104,0,0,11.65217391,9,1.4783,1
9,1,0,5,20,0,3,2,9,0.5,111,1.0,0,0.0,0.259259259,0,0,11.11111111,3,1.5556,0
12,1,0,3,25,0,2,1,0,0.436363636,218,1.0,0,0.0,0.395833333,0,0,16.75,3,1.3333,0
5,1,0,1,24,10,1,0,5,2.0,206,0.0,0,0.0,0.3,0,0,40.2,6,3.0,0
2,1,0,2,3,1,2,0,0,1.0,16,0.0,0,0.0,0.75,0,0,6.0,0,0.0,0
4,1,0,5,4,6,5,0,4,2.0,4,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
5,2,0,5,12,0,2,3,0,0.375,127,1.0,0,0.636363636,0.3,1,2,24.0,4,1.6,0
